Carlos Bernardes, Brasil
Mohamed El Jennati, Marruecos
Jake Garner, EEUU
Roland Herfel, Alemania
Emmanuel Joseph, Francia
James Keothavong, Reino Unido
Mohamed Lahyani, Suecia
Pascal Maria, Francia
Gianluca Moscarella, Italia
Cedric Mourier, Francia
Fergus Murphy, Irlanda
Ali Nili, EEUU
Kader Nouni, Francia
Carlos Ramos, Portugal
Damian Steiner, Argentina
John blom, Australia
Renaud Lichtenstein, Francia
Pierre Bacchi, Francia
Manuel Messina, Italia
Felix Torralba, Espana
Damien Dumusois, Francia
